label|primitive_label
7T6-4.2.1_4.2.1_4.2.1-a|7T6-4.2.1_4.2.1_4.2.1-a
7T6-5.1.1_3.2.2_3.2.2-a|7T6-5.1.1_3.2.2_3.2.2-a
7T6-5.1.1_3.2.2_3.3.1-a|7T6-5.1.1_3.2.2_3.3.1-a
7T6-5.1.1_3.2.2_5.1.1-a|7T6-5.1.1_3.2.2_5.1.1-a
7T6-5.1.1_3.2.2_5.1.1-b|7T6-5.1.1_3.2.2_5.1.1-b
7T6-5.1.1_3.3.1_3.3.1-a|7T6-5.1.1_3.3.1_3.3.1-a
7T6-5.1.1_3.3.1_4.2.1-a|7T6-5.1.1_3.3.1_4.2.1-a
7T6-5.1.1_4.2.1_3.2.2-a|7T6-5.1.1_4.2.1_3.2.2-a
7T6-5.1.1_4.2.1_3.2.2-b|7T6-5.1.1_4.2.1_3.2.2-b
7T6-5.1.1_4.2.1_4.2.1-a|7T6-5.1.1_4.2.1_4.2.1-a
7T6-5.1.1_4.2.1_4.2.1-b|7T6-5.1.1_4.2.1_4.2.1-b
7T6-5.1.1_5.1.1_3.3.1-a|7T6-5.1.1_5.1.1_3.3.1-a
7T6-5.1.1_5.1.1_4.2.1-a|7T6-5.1.1_5.1.1_4.2.1-a
7T6-5.1.1_5.1.1_5.1.1-a|7T6-5.1.1_5.1.1_5.1.1-a
7T6-7_2.2.1.1.1_3.2.2-a|7T6-7_2.2.1.1.1_3.2.2-a
7T6-7_2.2.1.1.1_4.2.1-a|7T6-7_2.2.1.1.1_4.2.1-a
7T6-7_2.2.1.1.1_5.1.1-a|7T6-7_2.2.1.1.1_5.1.1-a
7T6-7_3.1.1.1.1_3.2.2-a|7T6-7_3.1.1.1.1_3.2.2-a
7T6-7_3.1.1.1.1_3.3.1-a|7T6-7_3.1.1.1.1_3.3.1-a
7T6-7_3.1.1.1.1_4.2.1-a|7T6-7_3.1.1.1.1_4.2.1-a
7T6-7_3.1.1.1.1_5.1.1-a|7T6-7_3.1.1.1.1_5.1.1-a
7T6-7_3.2.2_3.2.2-a|7T6-7_3.2.2_3.2.2-a
7T6-7_3.2.2_3.3.1-a|7T6-7_3.2.2_3.3.1-a
7T6-7_4.2.1_3.2.2-a|7T6-7_4.2.1_3.2.2-a
7T6-7_4.2.1_3.2.2-b|7T6-7_4.2.1_3.2.2-b
7T6-7_4.2.1_3.3.1-a|7T6-7_4.2.1_3.3.1-a
7T6-7_4.2.1_4.2.1-a|7T6-7_4.2.1_4.2.1-a
7T6-7_4.2.1_4.2.1-b|7T6-7_4.2.1_4.2.1-b
7T6-7_4.2.1_4.2.1-c|7T6-7_4.2.1_4.2.1-c
7T6-7_4.2.1_5.1.1-a|7T6-7_4.2.1_5.1.1-a
7T6-7_4.2.1_5.1.1-b|7T6-7_4.2.1_5.1.1-b
7T6-7_5.1.1_3.2.2-a|7T6-7_5.1.1_3.2.2-a
7T6-7_5.1.1_3.2.2-b|7T6-7_5.1.1_3.2.2-b
7T6-7_5.1.1_3.3.1-a|7T6-7_5.1.1_3.3.1-a
7T6-7_5.1.1_3.3.1-b|7T6-7_5.1.1_3.3.1-b
7T6-7_5.1.1_5.1.1-a|7T6-7_5.1.1_5.1.1-a
7T6-7_5.1.1_5.1.1-b|7T6-7_5.1.1_5.1.1-b
7T6-7_5.1.1_5.1.1-c|7T6-7_5.1.1_5.1.1-c
7T6-7_7_2.2.1.1.1-a|7T6-7_7_2.2.1.1.1-a
7T6-7_7_2.2.1.1.1-b|7T6-7_7_2.2.1.1.1-b
7T6-7_7_3.1.1.1.1-a|7T6-7_7_3.1.1.1.1-a
7T6-7_7_3.1.1.1.1-b|7T6-7_7_3.1.1.1.1-b
7T6-7_7_3.2.2-a|7T6-7_7_3.2.2-a
7T6-7_7_3.2.2-b|7T6-7_7_3.2.2-b
7T6-7_7_3.2.2-c|7T6-7_7_3.2.2-c
7T6-7_7_3.2.2-d|7T6-7_7_3.2.2-d
7T6-7_7_3.3.1-a|7T6-7_7_3.3.1-a
7T6-7_7_3.3.1-b|7T6-7_7_3.3.1-b
7T6-7_7_3.3.1-c|7T6-7_7_3.3.1-c
7T7-4.1.1.1_4.3_3.2.2-a|7T7-4.1.1.1_4.3_3.2.2-a
7T7-4.1.1.1_4.3_3.3.1-a|7T7-4.1.1.1_4.3_3.3.1-a
7T7-4.1.1.1_4.3_4.2.1-a|7T7-4.1.1.1_4.3_4.2.1-a
7T7-4.2.1_3.2.1.1_4.3-a|7T7-4.2.1_3.2.1.1_4.3-a
7T7-4.2.1_4.3_2.2.2.1-a|7T7-4.2.1_4.3_2.2.2.1-a
7T7-4.3_2.2.2.1_3.2.2-a|7T7-4.3_2.2.2.1_3.2.2-a
7T7-4.3_2.2.2.1_3.3.1-a|7T7-4.3_2.2.2.1_3.3.1-a
7T7-4.3_3.2.2_3.2.1.1-a|7T7-4.3_3.2.2_3.2.1.1-a
7T7-4.3_3.3.1_3.2.1.1-a|7T7-4.3_3.3.1_3.2.1.1-a
7T7-4.3_4.3_2.2.1.1.1-a|7T7-4.3_4.3_2.2.1.1.1-a
7T7-4.3_4.3_3.1.1.1.1-a|7T7-4.3_4.3_3.1.1.1.1-a
7T7-5.1.1_3.2.1.1_4.3-a|7T7-5.1.1_3.2.1.1_4.3-a
7T7-5.1.1_4.1.1.1_4.3-a|7T7-5.1.1_4.1.1.1_4.3-a
7T7-5.1.1_4.3_2.2.2.1-a|7T7-5.1.1_4.3_2.2.2.1-a
7T7-5.1.1_5.2_2.2.2.1-a|7T7-5.1.1_5.2_2.2.2.1-a
7T7-5.2_2.2.1.1.1_4.3-a|7T7-5.2_2.2.1.1.1_4.3-a
7T7-5.2_2.2.2.1_3.2.2-a|7T7-5.2_2.2.2.1_3.2.2-a
7T7-5.2_2.2.2.1_3.3.1-a|7T7-5.2_2.2.2.1_3.3.1-a
7T7-5.2_2.2.2.1_4.2.1-a|7T7-5.2_2.2.2.1_4.2.1-a
7T7-5.2_3.2.2_3.2.1.1-a|7T7-5.2_3.2.2_3.2.1.1-a
7T7-5.2_3.2.2_4.1.1.1-a|7T7-5.2_3.2.2_4.1.1.1-a
7T7-5.2_3.3.1_3.2.1.1-a|7T7-5.2_3.3.1_3.2.1.1-a
7T7-5.2_3.3.1_4.1.1.1-a|7T7-5.2_3.3.1_4.1.1.1-a
7T7-5.2_4.2.1_3.2.1.1-a|7T7-5.2_4.2.1_3.2.1.1-a
7T7-5.2_4.2.1_4.1.1.1-a|7T7-5.2_4.2.1_4.1.1.1-a
7T7-5.2_4.3_3.1.1.1.1-a|7T7-5.2_4.3_3.1.1.1.1-a
7T7-5.2_5.1.1_3.2.1.1-a|7T7-5.2_5.1.1_3.2.1.1-a
7T7-5.2_5.1.1_4.1.1.1-a|7T7-5.2_5.1.1_4.1.1.1-a
7T7-5.2_5.2_2.2.1.1.1-a|7T7-5.2_5.2_2.2.1.1.1-a
7T7-5.2_5.2_3.1.1.1.1-a|7T7-5.2_5.2_3.1.1.1.1-a
7T7-6.1_2.2.2.1_3.2.2-a|7T7-6.1_2.2.2.1_3.2.2-a
7T7-6.1_2.2.2.1_4.2.1-a|7T7-6.1_2.2.2.1_4.2.1-a
7T7-6.1_2.2.2.1_5.1.1-a|7T7-6.1_2.2.2.1_5.1.1-a
7T7-6.1_3.2.2_3.2.1.1-a|7T7-6.1_3.2.2_3.2.1.1-a
7T7-6.1_3.2.2_4.1.1.1-a|7T7-6.1_3.2.2_4.1.1.1-a
7T7-6.1_3.3.1_3.2.1.1-a|7T7-6.1_3.3.1_3.2.1.1-a
7T7-6.1_3.3.1_4.1.1.1-a|7T7-6.1_3.3.1_4.1.1.1-a
7T7-6.1_4.1.1.1_4.2.1-a|7T7-6.1_4.1.1.1_4.2.1-a
7T7-6.1_4.2.1_3.2.1.1-a|7T7-6.1_4.2.1_3.2.1.1-a
7T7-6.1_4.3_2.2.1.1.1-a|7T7-6.1_4.3_2.2.1.1.1-a
7T7-6.1_4.3_3.1.1.1.1-a|7T7-6.1_4.3_3.1.1.1.1-a
7T7-6.1_5.1.1_3.2.1.1-a|7T7-6.1_5.1.1_3.2.1.1-a
7T7-6.1_5.1.1_4.1.1.1-a|7T7-6.1_5.1.1_4.1.1.1-a
7T7-6.1_5.2_2.2.1.1.1-a|7T7-6.1_5.2_2.2.1.1.1-a
7T7-6.1_5.2_3.1.1.1.1-a|7T7-6.1_5.2_3.1.1.1.1-a
7T7-6.1_6.1_2.2.1.1.1-a|7T7-6.1_6.1_2.2.1.1.1-a
7T7-6.1_6.1_3.1.1.1.1-a|7T7-6.1_6.1_3.1.1.1.1-a
7T7-7_2.1.1.1.1.1_6.1-a|7T7-7_2.1.1.1.1.1_6.1-a
7T7-7_2.2.2.1_3.2.1.1-a|7T7-7_2.2.2.1_3.2.1.1-a
7T7-7_2.2.2.1_4.1.1.1-a|7T7-7_2.2.2.1_4.1.1.1-a
7T7-7_3.2.1.1_3.2.1.1-a|7T7-7_3.2.1.1_3.2.1.1-a
7T7-7_3.2.1.1_3.2.1.1-b|7T7-7_3.2.1.1_3.2.1.1-b
7T7-7_3.2.1.1_4.1.1.1-a|7T7-7_3.2.1.1_4.1.1.1-a
7T7-7_4.1.1.1_4.1.1.1-a|7T7-7_4.1.1.1_4.1.1.1-a
7T7-7_4.3_2.1.1.1.1.1-a|7T7-7_4.3_2.1.1.1.1.1-a
7T7-7_5.2_2.1.1.1.1.1-a|7T7-7_5.2_2.1.1.1.1.1-a
7T7-4.2.1_4.3_4.3-a|7T7-4.2.1_4.3_4.3-a
7T7-4.3_4.3_3.2.2-a|7T7-4.3_4.3_3.2.2-a
7T7-4.3_4.3_3.3.1-a|7T7-4.3_4.3_3.3.1-a
7T7-4.3_4.3_3.3.1-b|7T7-4.3_4.3_3.3.1-b
7T7-5.1.1_4.3_4.3-a|7T7-5.1.1_4.3_4.3-a
7T7-5.1.1_4.3_4.3-b|7T7-5.1.1_4.3_4.3-b
7T7-5.1.1_4.3_4.3-c|7T7-5.1.1_4.3_4.3-c
7T7-5.2_3.3.1_4.3-a|7T7-5.2_3.3.1_4.3-a
7T7-5.2_4.2.1_4.3-a|7T7-5.2_4.2.1_4.3-a
7T7-5.2_4.3_3.2.2-a|7T7-5.2_4.3_3.2.2-a
7T7-5.2_4.3_5.1.1-a|7T7-5.2_4.3_5.1.1-a
7T7-5.2_5.2_3.2.2-a|7T7-5.2_5.2_3.2.2-a
7T7-5.2_5.2_3.2.2-b|7T7-5.2_5.2_3.2.2-b
7T7-5.2_5.2_3.3.1-a|7T7-5.2_5.2_3.3.1-a
7T7-5.2_5.2_3.3.1-b|7T7-5.2_5.2_3.3.1-b
7T7-5.2_5.2_3.3.1-c|7T7-5.2_5.2_3.3.1-c
7T7-5.2_5.2_3.3.1-d|7T7-5.2_5.2_3.3.1-d
7T7-5.2_5.2_4.2.1-a|7T7-5.2_5.2_4.2.1-a
7T7-5.2_5.2_5.1.1-a|7T7-5.2_5.2_5.1.1-a
7T7-5.2_5.2_5.1.1-b|7T7-5.2_5.2_5.1.1-b
7T7-5.2_5.2_5.1.1-c|7T7-5.2_5.2_5.1.1-c
7T7-6.1_3.3.1_4.3-a|7T7-6.1_3.3.1_4.3-a
7T7-6.1_3.3.1_5.2-a|7T7-6.1_3.3.1_5.2-a
7T7-6.1_4.3_3.2.2-a|7T7-6.1_4.3_3.2.2-a
7T7-6.1_4.3_4.2.1-a|7T7-6.1_4.3_4.2.1-a
7T7-6.1_4.3_5.1.1-a|7T7-6.1_4.3_5.1.1-a
7T7-6.1_5.2_3.2.2-a|7T7-6.1_5.2_3.2.2-a
7T7-6.1_5.2_4.2.1-a|7T7-6.1_5.2_4.2.1-a
7T7-6.1_5.2_5.1.1-a|7T7-6.1_5.2_5.1.1-a
7T7-6.1_6.1_3.2.2-a|7T7-6.1_6.1_3.2.2-a
7T7-6.1_6.1_3.2.2-b|7T7-6.1_6.1_3.2.2-b
7T7-6.1_6.1_3.3.1-a|7T7-6.1_6.1_3.3.1-a
7T7-6.1_6.1_3.3.1-b|7T7-6.1_6.1_3.3.1-b
7T7-6.1_6.1_5.1.1-a|7T7-6.1_6.1_5.1.1-a
7T7-6.1_6.1_5.1.1-b|7T7-6.1_6.1_5.1.1-b
7T7-6.1_6.1_5.1.1-c|7T7-6.1_6.1_5.1.1-c
7T7-7_2.2.2.1_6.1-a|7T7-7_2.2.2.1_6.1-a
7T7-7_3.2.1.1_6.1-a|7T7-7_3.2.1.1_6.1-a
7T7-7_4.1.1.1_4.3-a|7T7-7_4.1.1.1_4.3-a
7T7-7_4.1.1.1_5.2-a|7T7-7_4.1.1.1_5.2-a
7T7-7_4.1.1.1_5.2-b|7T7-7_4.1.1.1_5.2-b
7T7-7_4.3_2.2.2.1-a|7T7-7_4.3_2.2.2.1-a
7T7-7_4.3_3.2.1.1-a|7T7-7_4.3_3.2.1.1-a
7T7-7_5.2_2.2.2.1-a|7T7-7_5.2_2.2.2.1-a
7T7-7_5.2_3.2.1.1-a|7T7-7_5.2_3.2.1.1-a
7T7-7_6.1_4.1.1.1-a|7T7-7_6.1_4.1.1.1-a
7T7-7_4.3_4.3-a|7T7-7_4.3_4.3-a
7T7-7_4.3_4.3-b|7T7-7_4.3_4.3-b
7T7-7_4.3_4.3-c|7T7-7_4.3_4.3-c
7T7-7_4.3_4.3-d|7T7-7_4.3_4.3-d
8T1-8_8_1.1.1.1.1.1.1.1-a|4T1-4_4_1.1.1.1-a
8T2-4.4_4.4_2.2.2.2-a|4T2-2.2_2.2_2.2-a
8T4-4.4_2.2.2.2_2.2.2.2-a|4T2-2.2_2.2_2.2-a
8T6-8_2.2.2.2_2.2.2.1.1-a|4T3-4_2.2_2.1.1-a
8T7-8_8_2.2.1.1.1.1-a|4T1-4_4_1.1.1.1-a
8T8-8_4.4_2.2.2.1.1-a|4T3-4_2.2_2.1.1-a
8T12-6.2_3.3.1.1_3.3.1.1-a|4T4-3.1_3.1_3.1-a
8T13-6.2_3.3.1.1_2.2.2.2-a|4T4-3.1_3.1_2.2-a
8T14-4.4_3.3.1.1_2.2.2.2-a|4T5-4_3.1_2.1.1-a
8T16-8_8_2.2.1.1.1.1-a|4T1-4_4_1.1.1.1-a
8T17-8_2.2.2.2_4.1.1.1.1-a|4T3-4_2.2_2.1.1-a
8T17-8_2.2.2.2_4.2.2-a|4T3-4_2.2_2.1.1-a
8T17-8_4.4_4.1.1.1.1-a|4T3-4_2.2_2.1.1-a
8T23-8_2.2.2.1.1_3.3.1.1-a|4T5-4_3.1_2.1.1-a
8T23-8_2.2.2.1.1_6.2-a|4T5-4_3.1_2.1.1-a
8T24-6.2_2.2.1.1.1.1_4.4-a|4T5-4_3.1_2.1.1-a
8T25-7.1_7.1_2.2.2.2-a|8T25-7.1_7.1_2.2.2.2-a
8T27-8_2.1.1.1.1.1.1_4.4-a|4T1-4_4_1.1.1.1-a
8T27-8_4.4_2.2.2.1.1-a|4T1-4_4_1.1.1.1-a
8T28-8_4.2.2_2.2.1.1.1.1-a|4T3-4_2.2_2.1.1-a
8T28-8_4.2.2_2.2.2.2-a|4T3-4_2.2_2.1.1-a
8T28-8_4.2.2_4.2.1.1-a|4T3-4_2.2_2.1.1-a
8T30-4.1.1.1.1_4.2.2_4.4-a|4T3-4_2.2_2.1.1-a
8T33-6.2_6.2_2.2.1.1.1.1-a|2T1-2_2_1.1-a
8T33-6.2_3.3.1.1_4.4-a|2T1-2_2_1.1-a
8T33-6.2_6.2_2.2.2.2-a|2T1-2_2_1.1-a
8T33-6.2_6.2_3.3.1.1-a|2T1-2_2_1.1-a
8T33-6.2_6.2_3.3.1.1-b|2T1-2_2_1.1-a
8T36-6.2_6.2_3.3.1.1-a|8T36-6.2_6.2_3.3.1.1-a
8T36-7.1_6.2_3.3.1.1-a|8T36-7.1_6.2_3.3.1.1-a
8T37-7.1_2.2.2.2_3.3.1.1-a|8T37-7.1_2.2.2.2_3.3.1.1-a
8T37-7.1_3.3.1.1_3.3.1.1-a|8T37-7.1_3.3.1.1_3.3.1.1-a
8T37-4.4_4.4_3.3.1.1-a|8T37-4.4_4.4_3.3.1.1-a
8T37-7.1_4.4_2.2.2.2-a|8T37-7.1_4.4_2.2.2.2-a
8T37-7.1_4.4_3.3.1.1-a|8T37-7.1_4.4_3.3.1.1-a
8T37-7.1_7.1_2.2.2.2-a|8T37-7.1_7.1_2.2.2.2-a
8T37-7.1_7.1_3.3.1.1-a|8T37-7.1_7.1_3.3.1.1-a
8T37-7.1_7.1_3.3.1.1-b|8T37-7.1_7.1_3.3.1.1-b
8T38-3.3.2_3.3.2_2.2.2.2-a|4T4-3.1_3.1_2.2-a
8T38-3.3.2_3.3.2_3.3.1.1-a|4T4-3.1_3.1_3.1-a
8T38-4.2.2_3.3.1.1_3.3.2-a|4T4-3.1_3.1_2.2-a
8T38-6.1.1_3.3.1.1_3.3.2-a|4T4-3.1_3.1_3.1-a
